Size, Type, Time
1650000, "Parallel", 0.367858
1650000, "Built-in", 0.380984
1675000, "Sequential", 0.399354
1675000, "Parallel", 0.478781
1675000, "Built-in", 0.394619
1700000, "Sequential", 0.395197
1700000, "Parallel", 0.450766
1700000, "Built-in", 0.392124
1725000, "Sequential", 0.415628
1725000, "Parallel", 0.348100
1725000, "Built-in", 0.398311
1750000, "Sequential", 0.418731
1750000, "Parallel", 0.448823
1750000, "Built-in", 0.407142
1775000, "Sequential", 0.438168
1775000, "Parallel", 0.511490
1775000, "Built-in", 0.403443
1800000, "Sequential", 0.428415
1800000, "Parallel", 0.358542
1800000, "Built-in", 0.408162
1825000, "Sequential", 0.450554
1825000, "Parallel", 0.545585
1825000, "Built-in", 0.415255
1850000, "Sequential", 0.445825
1850000, "Parallel", 0.453588
1850000, "Built-in", 0.428090
1875000, "Sequential", 0.448535
1875000, "Parallel", 0.457554
1875000, "Built-in", 0.448668
1900000, "Sequential", 0.459671
1900000, "Parallel", 0.484625
1900000, "Built-in", 0.435536
1925000, "Sequential", 0.466620
1925000, "Parallel", 0.460819
1925000, "Built-in", 0.450203
1950000, "Sequential", 0.481165
1950000, "Parallel", 0.494053
1950000, "Built-in", 0.446825
1975000, "Sequential", 0.478721
1975000, "Parallel", 0.480353
1975000, "Built-in", 0.455832
2000000, "Sequential", 0.484292
2000000, "Parallel", 0.473816
2000000, "Built-in", 0.464823
500000, "Sequential", 0.115089
500000, "Parallel", 0.133135
500000, "Built-in", 0.103802
525000, "Sequential", 0.138642
525000, "Parallel", 0.134034
525000, "Built-in", 0.112250
550000, "Sequential", 0.126965
550000, "Parallel", 0.157172
550000, "Built-in", 0.116406
575000, "Sequential", 0.137721
575000, "Parallel", 0.130150
575000, "Built-in", 0.123191
600000, "Sequential", 0.137205
600000, "Parallel", 0.124624
600000, "Built-in", 0.126805
625000, "Sequential", 0.144215
625000, "Parallel", 0.135519
625000, "Built-in", 0.131589
650000, "Sequential", 0.170559
650000, "Parallel", 0.132428
650000, "Built-in", 0.134992
675000, "Sequential", 0.158851
675000, "Parallel", 0.190258
675000, "Built-in", 0.141400
700000, "Sequential", 0.181659
700000, "Parallel", 0.183125
700000, "Built-in", 0.153465
725000, "Sequential", 0.168576
725000, "Parallel", 0.155872
725000, "Built-in", 0.157460
750000, "Sequential", 0.200667
750000, "Parallel", 0.153998
750000, "Built-in", 0.157635
775000, "Sequential", 0.196806
775000, "Parallel", 0.204461
775000, "Built-in", 0.163665
800000, "Sequential", 0.189734
800000, "Parallel", 0.150410
800000, "Built-in", 0.168722
825000, "Sequential", 0.201516
825000, "Parallel", 0.203916
825000, "Built-in", 0.173806
850000, "Sequential", 0.203374
850000, "Parallel", 0.187632
850000, "Built-in", 0.182137
875000, "Sequential", 0.209245
875000, "Parallel", 0.212563
875000, "Built-in", 0.186952
900000, "Sequential", 0.214336
900000, "Parallel", 0.244740
900000, "Built-in", 0.201940
925000, "Sequential", 0.215018
925000, "Parallel", 0.181843
925000, "Built-in", 0.195052
950000, "Sequential", 0.218200
950000, "Parallel", 0.197352
950000, "Built-in", 0.213981
975000, "Sequential", 0.222688
975000, "Parallel", 0.234289
975000, "Built-in", 0.228347
1000000, "Sequential", 0.236656
1000000, "Parallel", 0.232751
1000000, "Built-in", 0.216436
1025000, "Sequential", 0.246500
1025000, "Parallel", 0.241699
1025000, "Built-in", 0.221413
1050000, "Sequential", 0.244746
1050000, "Parallel", 0.290536
1050000, "Built-in", 0.230852
1075000, "Sequential", 0.249975
1075000, "Parallel", 0.234001
1075000, "Built-in", 0.234180
1100000, "Sequential", 0.255627
1100000, "Parallel", 0.224486
1100000, "Built-in", 0.239687
1125000, "Sequential", 0.282242
1125000, "Parallel", 0.285356
1125000, "Built-in", 0.250037
1150000, "Sequential", 0.284726
1150000, "Parallel", 0.232149
1150000, "Built-in", 0.250861
1175000, "Sequential", 0.277621
1175000, "Parallel", 0.265464
1175000, "Built-in", 0.256574
1200000, "Sequential", 0.284707
1200000, "Parallel", 0.290051
1200000, "Built-in", 0.266263
1225000, "Sequential", 0.299833
1225000, "Parallel", 0.314747
1225000, "Built-in", 0.279108
1250000, "Sequential", 0.308114
1250000, "Parallel", 0.324778
1250000, "Built-in", 0.279233
1275000, "Sequential", 0.297443
1275000, "Parallel", 0.327540
1275000, "Built-in", 0.278350
1300000, "Sequential", 0.304851
1300000, "Parallel", 0.305250
1300000, "Built-in", 0.284909
1325000, "Sequential", 0.322350
1325000, "Parallel", 0.419318
1325000, "Built-in", 0.296640
1350000, "Sequential", 0.335642
1350000, "Parallel", 0.378798
1350000, "Built-in", 0.297439
1375000, "Sequential", 0.325885
1375000, "Parallel", 0.410451
1375000, "Built-in", 0.311825
1400000, "Sequential", 0.336137
1400000, "Parallel", 0.265760
1400000, "Built-in", 0.314791
1425000, "Sequential", 0.336456
1425000, "Parallel", 0.339424
1425000, "Built-in", 0.333720
1450000, "Sequential", 0.349259
1450000, "Parallel", 0.471583
1450000, "Built-in", 0.333777
1475000, "Sequential", 0.348452
1475000, "Parallel", 0.316498
1475000, "Built-in", 0.329080
1500000, "Sequential", 0.358058
1500000, "Parallel", 0.366604
1500000, "Built-in", 0.333570
1525000, "Sequential", 0.365716
1525000, "Parallel", 0.299891
1525000, "Built-in", 0.348547
1550000, "Sequential", 0.380748
1550000, "Parallel", 0.344611
1550000, "Built-in", 0.348379
1575000, "Sequential", 0.384068
1575000, "Parallel", 0.368939
1575000, "Built-in", 0.360181
1600000, "Sequential", 0.385552
1600000, "Parallel", 0.379433
1600000, "Built-in", 0.366587
1625000, "Sequential", 0.387816
1625000, "Parallel", 0.364207
1625000, "Built-in", 0.369638
1650000, "Sequential", 0.388692
1650000, "Parallel", 0.478831
1650000, "Built-in", 0.381112
1675000, "Sequential", 0.394262
1675000, "Parallel", 0.416158
1675000, "Built-in", 0.384346
1700000, "Sequential", 0.412439
1700000, "Parallel", 0.381612
1700000, "Built-in", 0.392335
1725000, "Sequential", 0.405269
1725000, "Parallel", 0.476359
1725000, "Built-in", 0.405286
1750000, "Sequential", 0.423955
1750000, "Parallel", 0.357538
1750000, "Built-in", 0.403844
1775000, "Sequential", 0.419497
1775000, "Parallel", 0.430018
1775000, "Built-in", 0.408320
1800000, "Sequential", 0.427790
1800000, "Parallel", 0.420441
1800000, "Built-in", 0.412801
1825000, "Sequential", 0.439649
1825000, "Parallel", 0.453400
1825000, "Built-in", 0.416908
1850000, "Sequential", 0.441093
1850000, "Parallel", 0.390916
1850000, "Built-in", 0.421301
1875000, "Sequential", 0.445004
1875000, "Parallel", 0.537274
1875000, "Built-in", 0.450855
1900000, "Sequential", 0.451970
1900000, "Parallel", 0.553007
1900000, "Built-in", 0.440307
1925000, "Sequential", 0.470390
1925000, "Parallel", 0.480966
1925000, "Built-in", 0.447656
1950000, "Sequential", 0.463841
1950000, "Parallel", 0.515549
1950000, "Built-in", 0.446098
1975000, "Sequential", 0.467446
1975000, "Parallel", 0.449554
1975000, "Built-in", 0.470596
2000000, "Sequential", 0.481095
2000000, "Parallel", 0.532930
2000000, "Built-in", 0.458611
500000, "Sequential", 0.119294
500000, "Parallel", 0.104777
500000, "Built-in", 0.102794
525000, "Sequential", 0.125753
525000, "Parallel", 0.105099
525000, "Built-in", 0.111685
550000, "Sequential", 0.127661
550000, "Parallel", 0.146784
550000, "Built-in", 0.113538
575000, "Sequential", 0.141085
575000, "Parallel", 0.132534
575000, "Built-in", 0.119604
600000, "Sequential", 0.140757
600000, "Parallel", 0.138531
600000, "Built-in", 0.131901
625000, "Sequential", 0.144482
625000, "Parallel", 0.186081
625000, "Built-in", 0.146448
650000, "Sequential", 0.158925
650000, "Parallel", 0.157510
650000, "Built-in", 0.136088
675000, "Sequential", 0.158576
675000, "Parallel", 0.170927
675000, "Built-in", 0.145243
700000, "Sequential", 0.170517
700000, "Parallel", 0.153619
700000, "Built-in", 0.149599
725000, "Sequential", 0.173294
725000, "Parallel", 0.155959
